X,Y,OBJECTID,FIRE_INVESTIGATION_ID,FIRE_INCIDENT_NUMBER,ADDRESS,FIRE_INCIDENT_DATE,INVESTIGATION_DATE,CASE_TYPE,OBJECT_BURNED,DETERMINATION,HAS_INJURIES,HAS_FATALITIES,HAS_EXPOSURES,STATUS_LAST_UPDATED_DATE,COUNCIL_DISTRICT,NEIGHBORHOOD,CITY,ZIP_CODE,STREET_NUMBER,STREET_PREFIX,STREET_NAME,STREET_TYPE,PARCEL_ID,ADDRESS_ID,LONGITUDE,LATITUDE
-82.9496357426989,42.3828282266435,5610,637bb8a8-6e97-4833-b23f-216ea8620807,20-0015474,2659 Marlborough Street,2020/05/19,2020/05/21,Investigation,Occupied Dwelling,Undetermined,,,False,2020/05/20,,,Detroit,48215,,,,,21059675.,,-82.9496357426989,42.3828282266435
-83.0764704422683,42.4213391064995,5611,6333368c-0db4-4330-b5fb-70763446dd6c,20-0015316,17421 Mackay Street,2020/05/18,2020/05/19,Investigation,Vacant Dwelling,Undetermined,,,False,2020/05/19,,,Detroit,48212,,,,,09013351.,,-83.0764704422683,42.4213391064995
-83.0216171765645,42.4448665297206,5612,4dd01a3c-3855-4469-90e5-3fb09133d2a0,20-0015248,20177 Veach Street,2020/05/18,2020/05/18,Investigation,Occupied Dwelling,Undetermined,,,False,2020/05/18,,,Detroit,48234,,,,,17016575.,,-83.0216171765645,42.4448665297206
,,5613,774a3701-0daa-456c-b9b1-d78b30661d23,20-0015243,Elmhurst St & Woodrow Wilson St,2020/05/18,2020/06/09,Investigation,Vehicle,Incendiary,,,False,2020/05/18,,,Detroit,48206,,,,,,,,
-82.9620713465463,42.4232321483284,5614,0d024d69-ed19-4602-b307-6baf1a1a0a82,20-0015219,12605 Kelly Road,2020/05/18,2020/05/18,Investigation,Vacant Commercial,Undetermined,,,False,2020/05/18,,,Detroit,48224,,,,,21057409.,,-82.9620713465463,42.4232321483284
,,5615,b8d25aba-e505-4aff-8b70-bd1de10abfd0,20-0015247,S Crossley St & South St,2020/05/18,2020/05/20,Investigation,Vehicle,Incendiary,,,False,2020/05/18,,,Detroit,48209,,,,,,,,
-83.1145200941438,42.3529874786098,5616,c9d9f8c1-ec62-48e4-b8bc-84a6a1dc1a7c,20-0015236,6574 John E Hunter Street,2020/05/18,2020/05/18,Investigation,Vacant Dwelling,Incendiary,,,False,2020/05/18,,,Detroit,48210,,,,,14011612.,,-83.1145200941438,42.3529874786098
-83.2761908835042,42.4128361294127,5617,7beb6f89-8f84-483a-b098-14dcb5a45c70,20-0015370,16840 Telegraph Road,2020/05/18,2020/05/19,Investigation,Occupied Dwelling,Incendiary,,,False,2020/05/19,,,Detroit,48219,,,,,22122522-3,,-83.2761908835042,42.4128361294127
-83.1623095571839,42.3812518989531,5618,1901c0c3-6478-4800-9e66-f60902a42716,20-0015337,12635 Griggs Street,2020/05/18,2020/05/19,Investigation,Vacant Dwelling,Incendiary,,,False,2020/05/19,,,Detroit,48238,,,,,16041785.,,-83.1623095571839,42.3812518989531
-83.1600383547278,42.2692081149116,5619,6b5105a2-acaf-4e4b-870e-650d3ccc1538,20-0015131,2668 Edsel Street,2020/05/17,2020/05/18,Investigation,Occupied Dwelling,Incendiary,,,False,2020/05/18,,,Detroit,48217,,,,,20014719-20,,-83.1600383547278,42.2692081149116
